name,real_first_name,real_middle_name,real_last_name,birthdate,birth_city,birth_province,birth_country,wikipedia_url,wikipedia_image_url
Beyoncé,Beyoncé,Giselle,Knowles,1981-09-04,Houston,Texas,United States,https://en.wikipedia.org/wiki/Beyonc%C3%A9,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Beyonce_Knowles_with_necklaces.jpg/220px-Beyonce_Knowles_with_necklaces.jpg
Kesha,Kesha,Rose,Sebert,1987-03-01,Los Angeles,California,United States,https://en.wikipedia.org/wiki/Kesha,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Kesha_Planes_Fire_%26_Rescue_premiere_July_2014_%28cropped%29.jpg/220px-Kesha_Planes_Fire_%26_Rescue_premiere_July_2014_%28cropped%29.jpg
Justin Bieber,Justin,Drew,Bieber,1994-03-01,London,Ontario,Canada,https://en.wikipedia.org/wiki/Justin_Bieber,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Justin_Bieber_NRJ_Music_Awards_2012.jpg/220px-Justin_Bieber_NRJ_Music_Awards_2012.jpg
Taylor Swift,Taylor,Alison,Swift,1989-12-13,Reading,Pennsylvania,United States,https://en.wikipedia.org/wiki/Taylor_Swift,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/TaylorSwiftApr09.jpg/170px-TaylorSwiftApr09.jpg
Kanye West,Kanye,Omari,West,1977-06-08,Atlanta,Georgia,United States,https://en.wikipedia.org/wiki/Kanye_West,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Kanye_West_Lollapalooza_Chile_2011_2.jpg/220px-Kanye_West_Lollapalooza_Chile_2011_2.jpg
Eminem,Marshall,Bruce,Mathers,1972-10-17,St. Joseph,Missouri,United States,https://en.wikipedia.org/wiki/Eminem,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Eminem_DJ_Hero.jpg/222px-Eminem_DJ_Hero.jpg
